rank,hero,id,high_mmr_wr,all_mmr_wr,wr_lift_pp,high_mmr_matches,high_mmr_players,candidates_hmmr,recommended_cost,ap_priority,best_full_order_wr,best_full_order_n,best_opener,best_opener_wr,consensus_core_items
1,McGinnis,8,54.63%,53.34%,+1.29,31938,,66,60000,Spectral Wall > Mini Turret > Medicinal Specter > Heavy Barrage,71.43%,105,Spectral Wall → Mini Turret → Mini Turret → Medicinal Specter,65.31%,Boundless Spirit; Echo Shard; Escalating Exposure; Greater Expansion; Healing Tempo; Heroic Aura
2,Seven,2,54.12%,54.71%,-0.59,56433,,52,69600,Power Surge > Storm Cloud > Lightning Ball > Static Charge,72.87%,188,Static Charge → Static Charge → Power Surge → Power Surge,56.92%,Boundless Spirit; Enchanter's Emblem; Fleetfoot; Indomitable; Spiritual Overflow; Superior Duration; Unstoppable
3,Ivy,20,53.81%,54.07%,-0.26,64902,,79,70400,Air Drop > Stone Form > Kudzu Connection > Entangling Thorns,73.83%,107,Stone Form → Stone Form → Kudzu Connection → Entangling Thorns,64.08%,Echo Shard; Healing Tempo; Transcendent Cooldown
4,Kelvin,12,53.37%,53.75%,-0.38,32897,,52,70400,Frost Grenade > Ice Path > Arctic Beam > Frozen Shelter,76.19%,294,Arctic Beam → Frost Grenade → Frost Grenade → Ice Path,59.71%,Alchemical Fire; Boundless Spirit; Divine Barrier; Greater Expansion; Heroic Aura; Infuser; Monster Rounds; Spirit Burn; Transcendent Cooldown
5,Graves,76,52.88%,54.65%,-1.77,38594,,64,66400,Grasping Hands > Borrowed Decree > Essence Theft > Jar of Dead,68.24%,721,Jar of Dead → Jar of Dead → Grasping Hands → Grasping Hands,59.77%,Escalating Exposure
6,Drifter,64,52.26%,52.36%,-0.10,106419,,79,71200,Stalker's Mark > Rend > Bloodscent > Eternal Night,75.27%,186,Stalker's Mark → Stalker's Mark → Rend → Bloodscent,57.55%,Silencer; Superior Duration
7,Lash,31,52.24%,52.14%,+0.10,97545,,63,73600,Flog > Death Slam > Ground Strike > Grapple,71.98%,439,Ground Strike → Ground Strike → Flog → Grapple,54.14%,Boundless Spirit; Spirit Burn
8,Dynamo,11,52.23%,52.06%,+0.17,43239,,58,67200,Rejuvenating Aurora > Kinetic Pulse > Quantum Entanglement > Singularity,78.18%,110,Kinetic Pulse → Kinetic Pulse → Rejuvenating Aurora → Rejuvenating Aurora,56.01%,Cheat Death; Headhunter; Heroic Aura; Recharging Rush; Transcendent Cooldown
9,Victor,66,52.10%,54.40%,-2.30,42593,,58,74400,Pain Battery > Shocking Reanimation > Jumpstart > Aura of Suffering,82.05%,117,Pain Battery → Aura of Suffering → Aura of Suffering → Jumpstart,58.69%,Ethereal Shift; Frenzy; Greater Expansion; Transcendent Cooldown
10,Yamato,27,51.72%,49.86%,+1.86,60141,,61,79200,Flying Slash > Shadow Transformation > Power Slash > Crimson Slash,72.07%,580,Crimson Slash → Power Slash → Flying Slash → Flying Slash,55.19%,Colossus; Refresher; Scourge; Transcendent Cooldown
